Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-10-07,-9.367702665943156,1.2159656305470744e-09,-9.63242078414152,1.017484670124217e-10,-9.669061196473379,3.25096451206262e-11,-9.670368357401667,3.04119557986783e-11,-9.689589924319739,2.5946588774925488e-12
2025-10-08,-9.625860287903604,1.7363805683780806e-09,-9.979600908750035,4.43156867138051e-10,-10.047154761323121,3.142533967519892e-10,-9.99598797144913,4.093070458462188e-10,-10.228867873507902,8.569124869335491e-11
2025-10-09,-9.354071658028559,2.3205296005135236e-09,-9.771580806013516,2.3984099385340215e-10,-9.837925747006413,1.123888489496601e-10,-9.839725514693356,1.0948071080874509e-10,-9.915304499748647,1.3010218915867682e-11
2025-10-10,-3.7226074198914354,9.253766634682754e-08,0.828707667551086,1.105765802736188e-07,2.2538668473061385,1.1325786376237226e-07,1.3772101580262266,1.1169257424976374e-07,6.796468292617913,1.1867626773391076e-07
2025-10-13,-8.948412831731902,6.368902782043914e-09,-9.16555483776508,2.8442589008351885e-09,-8.955076904210262,6.227580015806988e-09,-9.235550757810108,2.09492922808998e-09,-9.27599759674968,1.7286778307782853e-09
2025-10-14,-7.914205437493477,3.3606946673894407e-10,-7.817588109837405,2.1719179351033795e-09,-7.872998692309649,1.2430616221005305e-09,-7.426506925209315,5.853907820536777e-09,-7.72428719525162,3.3713086650327913e-09
2025-10-15,-8.16037509037512,1.487303030277194e-10,-8.136044497732023,5.104413304120729e-10,-8.161967668695707,1.2138250916380791e-10,-7.947976337903303,2.202792420638461e-09,-8.080640123878545,1.1422420843344654e-09
2025-10-16,-8.069850501735731,6.996393927227891e-10,-8.044552268443919,1.0317537537367262e-09,-8.085693948914964,4.634442512786035e-10,-7.767348789555967,3.2660434759922845e-09,-7.96558721082353,1.858573656888118e-09
2025-10-17,-8.838117293195022,1.0107746911105444e-09,-8.850742920142354,8.558582149416738e-10,-8.786514123377037,1.7510887085370588e-09,-8.919183407380908,1.8884155980396451e-10,-8.900640985815775,3.405757969461299e-10
2025-10-20,-9.214044755114447,3.3257035237206954e-09,-9.239229953771517,3.0347606759016188e-09,-9.137478497601009,4.339949872739632e-09,-9.436172669637218,1.3458781311685895e-09,-9.349228528674374,1.9758436163400534e-09
2025-10-21,-9.34758369305578,5.233204017750855e-09,-9.378790391782575,4.851142542487965e-09,-9.324925100642531,5.527526187190047e-09,-9.79047677750382,1.6739384526069317e-09,-9.510344148121238,3.501881104788756e-09
2025-10-22,-8.697918360652988,2.24965836184607e-11,-8.686554071058792,1.331687752935163e-10,-8.67385273721746,2.778200957808359e-10,-8.667394935691343,1.7993396635793245e-10,-8.700446534957296,1.4310376336906614e-12
2025-10-23,-9.392851178527762,1.693505089457437e-09,-9.2834832383095,2.6343497772043222e-09,-9.217546442890175,3.356043192560014e-09,-9.471524215065866,1.180304570236641e-09,-9.393582767053076,1.6881538651438837e-09
